Analysis Id,Sample Id,Sample,Fixed,Lat,Long,Dist,Bearing,Direction,Collection,Source,Description,Weight,Depth,Surface_Area,Shape,Uncertainty,MDA,Method,Nuclide,Result,Result
197881,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,1.40E-06,2.38E-06,Gamma Spectroscopy,Ce-144,-1.84E-07,-2%
197883,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,5.66E-06,0,Gamma Spectroscopy,I-132,-9.11E-11,0%
197885,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,5.66E-06,0,Gamma Spectroscopy,Te-132,-9.11E-11,0%
197887,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,4.08E-07,0,Gamma Spectroscopy,Mo-99,-9.04E-11,0%
197889,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,2.81E-08,3.58E-08,GP Counting,Sr-90,7.92E-09,0%
197891,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,3.84E-08,3.58E-08,GP Counting,Sr-Total,4.21E-07,4%
197893,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,2.81E-08,3.58E-08,GP Counting,Sr-89,6.37E-07,6%
197895,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,7.77E-07,4.73E-07,Gamma Spectroscopy,Ba-140,3.30E-06,33%
197897,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,1.08E-06,1.20E-06,Gamma Spectroscopy,Cs-136,1.30E-05,130%
197899,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,7.50E-06,6.51E-06,Gamma Spectroscopy,I-131,8.83E-05,883%
197901,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,2.82E-05,3.87E-07,Gamma Spectroscopy,Cs-137,0.00046748,4675%
